 g__[Clostridium]_innocuum_group	 g__[Eubacterium]_brachy_group	 g__[Eubacterium]_coprostanoligenes_group	 g__[Eubacterium]_hallii_group	 g__[Eubacterium]_xylanophilum_group	 g__[Ruminococcus]_torques_group	 g__67-14	 g__A2	 g__Acetatifactor	 g__Acidibacter	 g__Acidisoma	 g__Acinetobacter	 g__Aeromicrobium	 g__Afipia	 g__Agrococcus	 g__Aliihoeflea	 g__Alistipes	 g__Alloprevotella	 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 g__alphaI_cluster	 g__Anaerotruncus	 g__Antricoccus	 g__Arthrobacter	 g__ASF356	 g__Aureimonas	 g__Bacillus	 g__Bacteroides	 g__Bifidobacterium	 g__BIrii41	 g__Blastococcus	 g__Blfdi19	 g__Bosea	 g__Brachybacterium	 g__Bradyrhizobium	 g__Butyricicoccus	 g__Caldicoprobacter	 g__Candidatus_Phytoplasma	 g__Candidatus_Saccharimonas	 g__Caproiciproducens	 g__Carnobacterium	 g__Caulobacter	 g__Cellulomonas	 g__Cellulosimicrobium	 g__Chelativorans	 g__CHKCI002	 g__Chloronema	 g__Christensenellaceae_R-7_group	 g__Chryseobacterium	 g__Citricoccus	 g__Clostridiales_vadinBB60_group	 g__Clostridium_sensu_stricto_1	 g__Corynebacterium_1	 g__Curtobacterium	 g__Cutibacterium	 g__D05-2	 g__Deinococcus	 g__Delftia	 g__Desemzia	 g__Devosia	 g__Domibacillus	 g__Donghicola	 g__Dubosiella	 g__Dysgonomonas	 g__Ellin6055	 g__Enterobacter	 g__Enterococcus	 g__Enterorhabdus	 g__Erwinia	 g__Erysipelatoclostridium	 g__Erysipelotrichaceae	 g__Escherichia-Shigella	 g__Exiguobacterium	 g__Falsirhodobacter	 g__Flavisolibacter	 g__Flavonifractor	 g__Friedmanniella	 g__Frigoribacterium	 g__GCA-900066575	 g__Gemella	 g__Georgenia	 g__GKS98_freshwater_group	 g__Glutamicibacter	 g__Gordonibacter	 g__Ileibacterium	 g__Isoptericola	 g__Jeotgalicoccus	 g__JG30-KF-AS9	 g__JG30-KF-CM45	 g__Kineococcus	 g__Kocuria	 g__Kurthia	 g__Lachnoclostridium	 g__Lachnospiraceae_NK4A136_group	 g__Lachnospiraceae_UCG-001	 g__Lachnospiraceae_UCG-006	 g__Lachnospiraceae_UCG-008	 g__Lactobacillus	 g__Leucobacter	 g__Luteimonas	 g__Marinagarivorans	 g__Marinilactibacillus	 g__Marinovum	 g__Marisediminicola	 g__Marivita	 g__Marmoricola	 g__Marvinbryantia	 g__Massilia	 g__MBA03	 g__Megamonas	 g__Merdibacter	 g__Methylobacterium	 g__Methylotenera	 g__Microbacterium	 g__Micromonospora	 g__Millionella	 g__Modestobacter	 g__Mollicutes_RF39	 g__Muribaculaceae	 g__Mycobacterium	 g__Neptunomonas	 g__Nesterenkonia	 g__Nocardia	 g__Nocardioides	 g__Nocardiopsis	 g__Noviherbaspirillum	 g__Novosphingobium	 g__Ornithinimicrobium	 g__Oscillibacter	 g__Paenibacillus	 g__Paeniglutamicibacter	 g__Pantoea	 g__Parabacteroides	 g__Paracoccus	 g__Parasutterella	 g__Parvularcula	 g__Patulibacter	 g__Pelagibacterium	 g__Phenylobacterium	 g__Plantibacter	 g__Prevotella_9	 g__Prevotellaceae_UCG-001	 g__Promicromonospora	 g__Pseudarthrobacter	 g__Pseudoclavibacter	 g__Pseudokineococcus	 g__Pseudolabrys	 g__Pseudomonas	 g__Psychrobacillus	 g__Quadrisphaera	 g__Ralstonia	 g__Rathayibacter	 g__Rheinheimera	 g__Rhodococcus	 g__Rhodopirellula	 g__Romboutsia	 g__Rothia	 g__Ruminiclostridium	 g__Ruminiclostridium_5	 g__Ruminiclostridium_9	 g__Ruminococcaceae_UCG-013	 g__Ruminococcaceae_UCG-014	 g__Saccharibacillus	 g__Saccharimonadales	 g__Salana	 g__Sanguibacter	 g__Sellimonas	 g__Sodalis	 g__Sphingobacterium	 g__Sphingobium	 g__Sphingomonas	 g__Sporosarcina	 g__Staphylococcus	 g__Stenotrophomonas	 g__Streptococcus	 g__Streptomyces	 g__Subdoligranulum	 g__SWB02	 g__Tardiphaga	 g__Terribacillus	 g__Terrisporobacter	 g__Tianweitania	 g__Tyzzerella	 g__unclassified_Acetobacteraceae	 g__unclassified_Acetobacterales	 g__unclassified_Acidimicrobiia	 g__unclassified_Actinobacteria	 g__unclassified_Alphaproteobacteria	 g__unclassified_Alteromonadales	 g__unclassified_Bacillaceae	 g__unclassified_Bacillales	 g__unclassified_Bacilli	 g__unclassified_Bacteria	 g__unclassified_Bacteroidales	 g__unclassified_Bacteroidia	 g__unclassified_Betaproteobacteriales	 g__unclassified_Bogoriellaceae	 g__unclassified_Burkholderiaceae	 g__unclassified_Carnobacteriaceae	 g__unclassified_Caulobacteraceae	 g__unclassified_Cellvibrionaceae	 g__unclassified_Clostridiales	 g__unclassified_Coriobacteriales	 g__unclassified_Coriobacteriales_Incertae_Sedis	 g__unclassified_Coriobacteriia	 g__unclassified_Corynebacteriaceae	 g__unclassified_Corynebacteriales	 g__unclassified_Desulfovibrionaceae	 g__unclassified_Devosiaceae	 g__unclassified_Eggerthellaceae	 g__unclassified_Enterobacteriaceae	 g__unclassified_Enterococcaceae	 g__unclassified_Erysipelotrichaceae	 g__unclassified_Family_XIII	 g__unclassified_Firmicutes	 g__unclassified_Gammaproteobacteria	 g__unclassified_Geodermatophilaceae	 g__unclassified_Lachnospiraceae	 g__unclassified_Lactobacillales	 g__unclassified_Microbacteriaceae	 g__unclassified_Micrococcaceae	 g__unclassified_Micrococcales	 g__unclassified_Microtrichales	 g__unclassified_Nocardioidaceae	 g__unclassified_Paenibacillaceae	 g__unclassified_Peptostreptococcaceae	 g__unclassified_Planococcaceae	 g__unclassified_Propionibacteriales	 g__unclassified_Proteobacteria	 g__unclassified_Pseudomonadaceae	 g__unclassified_Pseudomonadales	 g__unclassified_Rhizobiaceae	 g__unclassified_Rhizobiales	 g__unclassified_Rhodobacteraceae	 g__unclassified_Ruminococcaceae	 g__unclassified_Saprospiraceae	 g__unclassified_Sphingomonadaceae	 g__unclassified_Spirochaetaceae	 g__unclassified_Staphylococcaceae	 g__unclassified_Stappiaceae	 g__unclassified_Xanthobacteraceae	 g__unclassified_Xanthomonadaceae	 g__uncultured	 g__Virgibacillus	 g__Yangia
 g__unclassified_Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999517784045214	0	0	0	0	0	0	0	0	0	0.999517784045214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999239784204553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.998853899474811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999517784045214	0	0	0	0	0	0	0	0	0
 g__unclassified_Bacilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999682893056482	0	0	0	0	0	0	0	0	0	0.999682893056482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999946006015249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998853899474811	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999682893056482	0	0	0	0	0	0	0	0	0
 g__unclassified_Bacteria	0	0	0	0	0	0	0	0	0	0	0.831611564323689	0	0	0.821494455563507	0	0	0	0	0	0	0	0	0	0	0	0	0.874536802675428	0	0	0	0	0	0	0.902657353031525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868481235146768	0	0.909448429902952	0	0	0	0	0	0	0	0	0	0	0	0	0	0.907236337291824	0	0	0	0	0	0	0	0	0.868481235146768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.822919683200889	0	0	0	0	0	0	0	0	0.868481235146768	0	0	0.868481235146768	0.868481235146768	0	0	0	0.868481235146768	0	0	0	0	0	0.868481235146768	0	0.868481235146768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.827730699986124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867059003762561	0	0	0	0	0	0	0	0.868481235146768	0	0	0	0	0.830945501531094	0	0	0	0	0	0	0	0	1	0	0	0	0	0.854055703998931	0	0	0	0	0	0	0	0.861292661897415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868481235146768	0.896504840066908	0	0	0	0
 g__unclassified_Bacteroidales	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Bacteroidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840559966021615	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.967177001081235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.892748665675368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.824417088897619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__unclassified_Betaproteobacteriales	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Bogoriellaceae	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Burkholderiaceae	0	0	0	0	0	0	0	0	0	0.854581720101402	0.984858723358567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923098649954293	0	0	0	0	0	0	0.970254361378347	0	0	0	0	0	0	0.980970864366792	0	0	0	0	0	0	0	0	0	0	0.898814201217568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931842707350277	0	0	0.95749446450364	0	0.97537814900688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.988803467371631	0	0	0	0	0	0	0	0	0	0	0	0	0.955961495583608	0	0	0	0	0	0	0	0	0.854055703998931	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.881025113344296	0	0	0	0
 g__unclassified_Carnobacteriaceae	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.845128393355154	0	0	0	0	0	-0.892748665675368	0	0	0	0	0	0	0	0	-0.892748665675368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.892748665675368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.892748665675368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.892748665675368	0	0	0	-0.918479644106316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.892748665675368	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.892748665675368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__unclassified_Cellvibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__unclassified_Clostridiales	0	0.997181074703155	0.997181074703155	0	0.997123022849654	0	0.997181074703155	0.997181074703155	0.997181074703155	0	0	0	0	0	0.997181074703155	0.997181074703155	0.971848835967388	0.997181074703155	0	0.997181074703155	0.997181074703155	0.997181074703155	0	0.997181074703155	0.997181074703155	0.865612673429494	0	0	0	0	0	0	0.997181074703155	0	0.997181074703155	0	0.997181074703155	0.997181074703155	0	0.997181074703155	0	0.997181074703155	0	0	0	0	0	0	0	0	0	0	0	0	0.997181074703155	0	0	0	0.997181074703155	0	0.997181074703155	0	0	0.997181074703155	0	0	0.994899394242491	0	0	0.997181074703155	0	0	0	0.997181074703155	0	0.997181074703155	0.922450620759113	0.997181074703155	0.997181074703155	0.997181074703155	0	0	0.99817625001346	0	0.997181074703155	0	0	0.997181074703155	0.997181074703155	0	0	0.982936979547514	0.997198087953679	0.997181074703155	0.997181074703155	0.997181074703155	0	0	0	0	0	0	0.967329432649388	0	0.997181074703155	0	0	0	0	0	0.991619793092565	0	0.995953290388386	0	0	0	0.997181074703155	0.997181074703155	0.997181074703155	0	0	0	0	0.997181074703155	0	0	0	0.997181074703155	0	0	0	0	0	0	0	0.997181074703155	0.997181074703155	0	0	0	0.997604913074059	0.997181074703155	0	0	0	0.997181074703155	0	0	0	0	0.997181074703155	0	0	0.997181074703155	0	0.997181074703155	0.991628298558528	0.997181074703155	0.871739079789253	0	0.992661742327909	0	0.997181074703155	0	0	0	0	0	0	0	0	0	0	0	0.997181074703155	0	0	0	0	0.997181074703155	0	0	0	0	0.997181074703155	0.993238066866577	0	0	0.997181074703155	0	0	0	0.997181074703155	0	0.997181074703155	0.997181074703155	0	0.997181074703155	0	0	1	0.997181074703155	0.997181074703155	0.997181074703155	0	0	0.997181074703155	0	0.997181074703155	0	0	0	0	0.995739242931034	0	0	0.996386203269368	0.997181074703155	0.966274825129772	0	0.918006290077321	0.997181074703155	0	0	0	0	0.997181074703155	0	0	0	0.997181074703155	0	0.933516971948587	0.985641093071614	0	0	0	0	0	0	0	0.990725608110697	0	0.997181074703155
 g__unclassified_Coriobacteriales	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Coriobacteriales_Incertae_Sedis	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Coriobacteriia	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__unclassified_Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906607642051425	0	0	0	0	0	0	0	0	0	0	0	0	0.918137879802786	0	0	0	0	0	0	0.885223857524101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948619034401582	0	0.962957611943795	0.91047036711824	0	0	0	0	0	0	0	0	0	0	0	0	0.927027561782223	0	0	0	0	0	0	0	0	0.948619034401582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.836611283084584	0	0	0	0	0	0	0	0	0.948619034401582	0	0	0.948619034401582	0.948619034401582	0	0	0	0.948619034401582	0	0	0	0	0	0.948619034401582	0	0.948619034401582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.988979404730952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948619034401582	0	0	0	0	0.85322438496679	0	0	0	0.903466295579391	0	0	0	0	0.861292661897415	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948619034401582	0.949800365346089	0	0	0	0
 g__unclassified_Corynebacteriales	0	0	0	0	0	0	0	0	0	0.815187615772519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.986813648233516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.93853480018741	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.978765568442965	0	0.872857696394111	0	0.979607261967418	0	0	0	0	0	0	0	0.883344819524774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.99983181728293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98661322248873	1	1	0	0	0	0	1	0
